,dataset,start_age,end_age,sex,gene,fold_change_log2,expression_at_start_age,expression_at_end_age,expression_max_std_dev,p_value
1615,facs,3m,18m,male,Mettl7b,1.0138778686523438,2.5488867322565056e-05,5.147048432263546e-05,0.00026760800392366946,2.0114081761803345e-18
1616,facs,3m,18m,male,Chd1l,-1.0136706829071045,2.023739398282487e-05,1.0023267350334208e-05,9.65194049058482e-05,1.3398058593485788e-09
1617,facs,3m,18m,female,Anapc11,1.013344645500183,3.210463546565734e-05,6.480595038738102e-05,0.0001506303669884801,2.557795133349591e-90
1618,facs,3m,18m,male,Sh3d19,-1.0133017301559448,2.3966398657648824e-05,1.1873221410496626e-05,8.393619646085426e-05,1.4728052049090844e-16
1619,facs,3m,18m,female,Mllt6,1.0130043029785156,4.5444361603586e-05,9.171168494503945e-05,0.00037420744774863124,1.7018325979017358e-44
1620,facs,3m,18m,male,Elovl7,-1.0128881931304932,3.0020584745216183e-05,1.487679583078716e-05,0.00013443033094517887,1.6224213718188121e-19
1621,facs,3m,18m,male,Osbpl1a,-1.0128170251846313,6.18082849541679e-05,3.0630802939413115e-05,0.0002117298572557047,5.831049740467598e-45
1622,facs,3m,18m,female,Tsc22d4,1.012745976448059,5.106268872623332e-05,0.00010303163435310125,0.0005195960402488708,1.0657062690694783e-30
1623,facs,3m,18m,male,Zfp180,-1.0126769542694092,1.885013989522122e-05,9.342615157947876e-06,0.00010357945575378835,7.87201239723357e-07
1624,facs,3m,18m,male,Emp3,1.0120935440063477,0.00011752892896765843,0.0002370365255046636,0.000752424297388643,1.5632706930513049e-71
1625,facs,3m,18m,male,Lyl1,1.011293649673462,2.8693659260170534e-05,5.783831875305623e-05,0.000209117861231789,1.4713629995136795e-38
1626,facs,3m,18m,male,Itfg1,-1.0108215808868408,0.0001006350721581839,4.994151822756976e-05,0.00022528939007315785,2.4707370661563215e-96
1627,facs,3m,18m,male,Sqle,-1.0102803707122803,3.045477205887437e-05,1.5119264389795717e-05,0.00012389761104714125,1.497337166193907e-22
1628,facs,3m,18m,male,Ltbp1,-1.010137677192688,5.865964340046048e-05,2.9124443244654685e-05,0.00022056374291423708,1.1109822738366975e-38
1629,facs,3m,18m,male,Rbm6,-1.009905457496643,4.53438151453156e-05,2.2516775061376393e-05,0.00016486423555761576,2.0883640991482505e-35
1630,facs,3m,18m,male,Pcmtd2,-1.0096012353897095,2.994161332026124e-05,1.4871505300106946e-05,0.00013820361346006393,2.0068446278214178e-17
1631,facs,3m,18m,male,Alcam,-1.0095672607421875,4.231177081237547e-05,2.101605241477955e-05,0.00014278109301812947,3.645044583775142e-35
1632,facs,3m,18m,male,Atp6v0a2,-1.0088958740234375,2.4169796233763918e-05,1.2010609680146445e-05,0.0001032300860970281,2.8573503125961654e-14
